SMILES,Mutagenicity
O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,positive
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,undetermined
Nc1nc(N)nc(N)n1,
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,negative
CC(C)CC(=O)Nc1snc2ccccc12,positive
Cc1cccc([N+](=O)[O-])c1C,positive
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,negative
CCC[N+](=O)[O-],negative
O=C(O)c1cc([N+](=O)[O-])cc2cccnc12,negative
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,positive
NC(=O)Nc1nc2ccccc2[nH]1,negative
C[C@@H](O)CCC(=O)c1ccoc1,negative
Nc1ccc2c(c1)oc1ccccc12,
Cc1ccc2ccc3ccc(C)cc3c2c1,
Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,positive
CCN(N=O)/C(C=O)=N/O,positive
NNc1nnc(NN)c2ccccc12,undetermined
C=CC(=O)NCNC(=O)C=C,negative
OCc1cc2c3c(cccc3c1)-c1ccccc1-2,positive
Cc1ccccc1-c1ccccc1,negative
Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C,
Cc1nc(N)nc(N)n1,
CCNc1nc(N)nc(Cl)n1,negative
c1ccc2c(c1)-c1ccccc1C1C2N1C1CCCCC1,undetermined
CCCCB(CCCC)CCCC,negative
CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,negative
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,positive
CCN=NNCC,positive
O=[N+]([O-])c1cccc(O)c1,positive
O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,undetermined
OCc1ccco1,positive
c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1,negative
Oc1cc2c3ccccc3ccc2c2ccccc12,positive
Oc1ccc2ccccc2c1N=Nc1ccccc1,negative
N[C@H]1CC[C@H](C[C@H]2CC[C@H](N)CC2)CC1,negative
COC(=O)C12CC1(C=O)C(C=O)=CC1CC(C)(C)CC12,positive
CCOC(=O)C(C)Br,negative
COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,negative
CCN(CCCl)CCCNc1c2c(nc3ccccc13)CCCC2,negative
CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,negative
CCO[P@](=S)(CC)Sc1ccccc1,negative
Nc1ccc([N+](=O)[O-])c(N)c1,negative
CCSCCSP(=O)(OC)OC,negative
Cc1ccccc1C(=O)O,positive
C1CC1C2,negative
Brc1ccccc1,positive
Cc1cc(N)c(S(=O)(=O)O)cc1Cl,positive
Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,undetermined
CN(C)CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O,positive
Nc1snc2c(Cl)cc(Cl)cc12,negative
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,positive
Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O,negative
COCCl,positive
O=NN1CCOCC1,positive
Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,negative
Nc1ccc(Nc2ccccc2)cc1,negative
C=C(C)C(=O)OCCCCC,positive
O=C(O)c1ccccc1,positive
Nc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,negative
c1cc2c3c(c1)ccc1cccc(c13)C2,positive
Fc1ccccc1-c1ccccc1,positive
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,negative
CC(C)=CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,negative
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,negative
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,negative
Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,negative
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,negative
Oc1ccc(Cc2ccccc2O)cc1,negative
COC(C)CCO,
CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,positive
CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,negative
CCCCCCCC(=O)Cl,positive
CC(C)(C)C(Br)C(=O)Nc1ccccc1,positive
CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23,negative
CCNC(=O)Nc1ncc([N+](=O)[O-])s1,negative
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4,positive
O=[N+]([O-])c1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,positive
C=C(C)C(=O)OC,positive
O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,positive
COC(N)=O,positive
Cc1cc(C)n(-c2[nH]nc(NN)c3c4ccccc4nc2-3)n1,negative
Fc1cnc2ccc3cccnc3c2c1,negative
O=C(NC(S)c1nc2ccccc2s1)NC(S)c1nc2ccccc2s1,negative
Cc1c2ccccc2c(CBr)c2ccccc12,positive
Nc1cccc2cc3c(nc12)CCCC3,positive
C=CC(=O)OC,negative
CC(=O)Nc1c(O)cc2c3c(cccc13)-c1ccccc1-2,negative
OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1,negative
O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2,positive
O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O,negative
Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,positive
CN=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=C1,positive
CCCCN(COC(C)=O)N=O,positive
c1ccc2c3c4c(cc5ccccc5c4cc2c1)C1=C3CCCC1,positive
NP(=O)(OCCC(=O)O)N(CCCl)CCCl,positive
Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,negative
C1CSCCO1,negative
Cc1ccccc1N,
O=C1c2ccccc2-c2ccccc21,positive
C1CCCC2OC2CC1,negative
C1=Cc2ccc3nc4ccc5ccccc5c4cc3c2CC1,negative
CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3ccc(N=[N+]=[N-])cc23)cc1,negative
CN(C)CCN(Cc1ccccc1)c1ccccn1,
C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,negative
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,positive
CCNc1ccccc1,negative
Nc1ccccc1SCCSc1ccccc1N,positive
O=C(NO)c1ccccc1O,negative
Nc1c(O)cccc1[N+](=O)[O-],positive
CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,negative
O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,
c1cc2c3c(cccc3c1)CC2,negative
CN(C)CCCNc1c2ccccc2nc2c(N(CCO)CCO)ccc([N+](=O)[O-])c12,
CCCCOc1ccc(N=O)cc1,positive
Cc1cc(S(=O)(=O)O)c(N)cc1Cl,positive
COC(=O)C1=CCCN(C)C1,negative
CNC(=O)ON,negative
C=CC(=O)O,positive
O=C(O)CC(=O)O,positive
CCCCC=O,positive
O=Nc1ccccc1-c1ccccc1,negative
CN(c1nccc(O)n1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,negative
CSC(C)(C)C(=O)NC(CS)C(=O)O,negative
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,positive
[N-]=[N+]=NCC(O)C(O)C(O)C(O)C=O,
CCCCCNc1snc2ccccc12,positive
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,negative
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,positive
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,negative
COc1ccc(O)c(C(C)(C)C)c1,positive
O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCl,
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,positive
OCc1cc2ccc3cccc4ccc(c1)c2c34,negative
CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1,undetermined
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,
N#Cc1ccccc1C#N,
CC(=O)Nc1cc(N=[N+]([O-])c2ccc(C)c(NC(C)=O)c2)ccc1C,positive
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(=C(O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(N)=N1,positive
c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1,positive
CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,
C=CC(=O)OCCCCCC,
CN(C)N=Nc1ccc(C(=O)O)cc1,negative
ClC(Cl)(Cl)c1ccccc1,undetermined
CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC,positive
CC1(C)OC1COc1c2occc2cc2ccc(=O)oc12,positive
CCC(CC)[N+](=O)[O-],negative
