;name;SMILES;category;genotoxicity;carcinogenicity;mutagenicity
0;Neosolaniol 8-acetate;CC(=O)OC[C@]12C[C@H](OC(C)=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)C2(C)C12CO2;trichothecenes;1;1;0
1;7-dimethylallyl neoechinulin B;C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cccc2c1/C=c1/nc([O-])c(=C)[nH]c1=O;chinulins;1;1;1
2;neoechinulin B (anion);C=CC(C)(C)c1[nH]c2ccccc2c1/C=c1/nc([O-])c(=C)[nH]c1=O;chinulins;1;1;1
3;T-2 toxin-3-glucuronic acid;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2;trichothecenes;1;1;0
4;T-2 toxin-3-sulfate;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](OS(=O)(=O)[O-])[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2;trichothecenes;1;0;0
5;T-2 toxin-3-alpha-glucose;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O[C@H]3O[C@H](CO)[C@@H](C)[C@H](C)[C@H]3C)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2;trichothecenes;1;1;1
6;Nivalenol-3-glucoside;CC1=C[C@H]2O[C@@H]3[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@@](C)([C@]34CO4)[C@@]2(CO)[C@H](O)C1=O;trichothecenes;1;0;1
7;HT-2 toxin-malonylglucose;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O[C@@H]3O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@]2(C)[C@]12CO2;trichothecenes;1;0;1
8;HT-2 toxin-4-glucuronic acid;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@@]2(C)[C@]12CO2;trichothecenes;1;0;0
9;HT-2 toxin-3-glucose;CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@]2(C)[C@]12CO2;trichothecenes;1;0;1
10;trans-3-Feruloyl-T-2 toxin;COc1cc(/C=C/C(=O)O[C@@H]2[C@@H](OC(C)=O)[C@@]3(C)[C@]4(CO4)[C@@H]2O[C@@H]2C=C(C)[C@@H](OC(=O)CC(C)C)C[C@@]23COC(C)=O)ccc1O;trichothecenes;1;1;0
